Datetime,Headline,Summary,URL,Source,Sentiment,EventType,Open,Close,Price Date,Close_Return,Intraday_Return,Volatility_5d,SMA_5,SMA_20
2025-01-09 13:00:00 UTC,Ginkgo Bioworks Announces Participation in the 43rd Annual J.P. Morgan Healthcare Conference,"Ginkgo Bioworks (NYSE: DNA), which is building the leading platform for cell programming and biosecurity, today announced that Co-Founder and CEO, Jason Kelly, is scheduled to present at the 43rd Annual J.P. Morgan Healthcare Conference on Thursday, January 16, 2025 at 10:30 a.m. PT (1:30 p.m. ET).",https://finnhub.io/api/news?id=cc410ae71c36acce436fa165f9af524b08812f98089e337e63c1ae0f465d1fd6,Yahoo,neutral,other,10.81,11.11,2025-01-08,0.0,2.775208140610536,0.0,0.0,0.0
2025-01-13 13:01:00 UTC,"Ginkgo Bioworks Partners with Universal Cells, an Astellas Company, to Advance Next-Generation iPSC-Derived Cell Therapies for Solid Tumors","Ginkgo Bioworks (NYSE: DNA), which is building the leading platform for cell programming and biosecurity, today announced a research collaboration with Universal Cells, an Astellas company, to optimize next-generation induced pluripotent stem cell (iPSC)-derived cancer cell therapies. This collaboration underscores Ginkgo's capacity to deploy high-throughput biological approaches to tackle the complex challenge set associated with development of therapies targeting solid tumors.",https://finnhub.io/api/news?id=9b2bc429c9feff50818cf8ca2e3bbb6974a8abca904107829fc63e3abe0baab2,Yahoo,positive,partnership,9.34,8.86,2025-01-13,-20.25202520252025,-5.139186295503217,0.0,0.0,0.0
2025-01-16 13:30:00 UTC,"Transcript : Ginkgo Bioworks Holdings, Inc. Presents at 43rd Annual J.P. Morgan Healthcare Conference 2025, Jan-16-2025 10",Presenter SpeechUnknown Analyst Good morning. Welcome to the 43rd Annual JPMorgan Healthcare Conference. My name is [indiscernible]. I'm an associate in the JPMorgan Healthcare Investment Banking...,https://finnhub.io/api/news?id=23bd3f7fb964717dce8fd11680e4886b8d09867ddc2bb2e51505fb425048e5ba,Finnhub,neutral,other,9.3,10.2,2025-01-16,15.12415349887133,9.677419354838694,0.0,0.0,0.0
2025-01-23 13:01:00 UTC,Ginkgo Automation to Deploy Flexible Laboratory Automation System for Cutting-Edge Biofuels and Bioproducts Research at Great Lakes Bioenergy Research Center (GLBRC),"Ginkgo Bioworks (NYSE: DNA), which is building the leading platform for cell programming and biosecurity, today announced that Ginkgo Automation will design and deploy a flexible, anaerobic-enabled laboratory automation system for the Great Lakes Bioenergy Research Center (GLBRC), a U.S. Department of Energy-funded Bioenergy Research Center at the University of Wisconsin–Madison. This new system is designed to support the diverse needs of multiple investigators and research teams simultaneously,",https://finnhub.io/api/news?id=bb37e48866a98b7318af77f78d5bd8cec92080fd9f58e052758b882882c4be0c,Yahoo,positive,partnership,12.5,13.18,2025-01-23,29.21568627450981,5.439999999999998,0.0,0.0,0.0
2025-01-28 18:02:27 UTC,Ginkgo Bioworks Holdings (DNA) Price Target Increased by 14.63% to 9.59,,https://finnhub.io/api/news?id=58e02d21856c5e90d9692e68599f9db03e6bcfade4f7b87f808887ce98be96f5,Fintel,neutral,other,11.96,12.28,2025-01-28,-6.828528072837637,2.675585284280924,19.232089524469778,11.126,0.0
2025-01-29 17:00:10 UTC,Ginkgo Bioworks (DNA) Upgraded to Strong Buy: Here's What You Should Know,"Ginkgo Bioworks (DNA) might move higher on growing optimism about its earnings prospects, which is reflected by its upgrade to a Zacks Rank #1 (Strong Buy).",https://finnhub.io/api/news?id=6559b3cea93c1ef077c531f43bc29e978f6f570a3e1bea120e0ca13047097557,Yahoo,positive,analyst_rating,12.27,12.25,2025-01-29,-0.24429967426710109,-0.1629991850040715,19.24335853613772,11.354,0.0
2025-01-30 01:21:00 UTC,Ginkgo Bioworks: Declining Core Revenue And High Cash Burn Echo Amyris' Path,"Ginkgo Bioworks faces ongoing revenue declines and high cash burn, despite cost-cutting efforts. Find out why I maintain a Sell rating for DNA stock.",https://finnhub.io/api/news?id=c30f27e3b618271383ab86b51bcf7cc691d6d729b3feebd131bf8e684f598f71,SeekingAlpha,negative,analyst_rating,12.45,13.91,2025-01-30,13.551020408163271,11.726907630522096,14.107803616450068,12.364,0.0
2025-02-06 13:01:00 UTC,Ginkgo Bioworks to Host 6th Annual Ferment as Boston-based Conference Series,"Ginkgo Bioworks (NYSE: DNA), which is building the leading platform for cell programming and biosecurity, today announced the 2025 Ferment Series, an evolution of its flagship annual conference dedicated to advancing Ginkgo's mission of making biology easier to engineer. Throughout 2025, Ginkgo product teams will hold a series of focused Ferments at Ginkgo's beautiful event venue, located at 19 Fid Kennedy Ave in Boston's historic Seaport District, just a five-minute walk from Ginkgo's headquart",https://finnhub.io/api/news?id=cfaca9a9bffa48065841b375f28ad7b2736ad56d5330fc323aec00b3ada12403,Yahoo,positive,product_launch,16.85,13.68,2025-02-06,-1.6534867002156783,-18.813056379821965,14.618988628884999,13.059999999999999,0.0
2025-02-18 13:00:00 UTC,Ginkgo Bioworks Announces Date of Fourth Quarter and Full Year 2024 Results Presentation,"Ginkgo Bioworks Holdings, Inc. (NYSE: DNA) (""Ginkgo""), which is building the leading platform for cell programming and biosecurity, today announced that it plans to host a presentation and Q&A session reviewing business performance for the fourth quarter and full year ended December 31, 2024, on Tuesday, February 25, 2025, beginning at 5:30 p.m. ET.",https://finnhub.io/api/news?id=904b72d19a5f385a99f8f8bb6e7f28c8e0eaa6f2ee7272c6e1d2b0dac20e7438,Yahoo,neutral,other,15.29,13.77,2025-02-18,0.6578947368421018,-9.941137998691953,7.5411155299686925,13.178,0.0
2025-02-20 13:01:00 UTC,Ginkgo Bioworks Partners with HaDEA in Up to €24 Million Consortium Project to Deliver Next-Generation 'Agnostic Diagnostics' for Respiratory Viruses at the Point of Care,"Ginkgo Bioworks (NYSE: DNA), which is building the leading platform for cell programming and biosecurity, today announced a collaboration with the European Health and Digital Executive Agency (HaDEA) as contracting authority under a joint tender of up to €24 million. The funding is made available through the EU4Health programme, linked to the key priorities of the Health Emergency Preparedness and Response Authority (HERA) of the European Commission.",https://finnhub.io/api/news?id=09829b76a6239584e3b6301d03bc4e970b95957cf4da76b46212cd78f55709f9,Yahoo,positive,partnership,12.5,11.43,2025-02-20,-16.993464052287578,-8.560000000000002,10.854142618651155,13.008000000000001,0.0
2025-02-21 14:00:00 UTC,Ginkgo Bioworks integrates Callisto for difficult-to-automate NGS processes in their high-throughput lab,"Volta Labs, a leading genomics applications company, and Ginkgo Bioworks, (NYSE: DNA), which is building a leading platform for cell programming and biosecurity, today announced the integration of the Callisto™ Sample Prep System at Ginkgo Bioworks as part of the routine Illumina sequencing workflow.",https://finnhub.io/api/news?id=fb386e64bc77df468347e75f78a370356bce539487d1d5184e4419c6fa89c951,Yahoo,neutral,other,11.7,10.82,2025-02-21,-5.33683289588801,-7.521367521367512,11.010756023751705,12.722,0.0
2025-02-25 21:22:28 UTC,"Ginkgo Bioworks Holdings, Inc. (DNA) Q4 2024 Earnings Call Transcript","Ginkgo Bioworks Holdings, Inc. (NYSE:DNA) Q4 2024 Earnings Conference Call February 25, 2025 5:30 PM ETCompany ParticipantsJoseph Fridman - Director,...",https://finnhub.io/api/news?id=94f110ac71e6b5086f5aee2a6e81b8c9ee27c7028982c48ecfa806826ca03d34,SeekingAlpha,neutral,earnings,10.4,10.29,2025-02-25,-4.898336414048066,-1.0576923076923193,6.80255044425894,11.998,0.0
2025-02-25 21:25:34 UTC,"Ginkgo Bioworks Holdings, Inc. 2024 Q4 - Results - Earnings Call Presentation","The following slide deck was published by Ginkgo Bioworks Holdings, Inc.",https://finnhub.io/api/news?id=0fd9d18b911a91cda4e3059b068a3ea0ed4140e0e70ac39fe742113eed01e7aa,SeekingAlpha,neutral,other,10.4,10.29,2025-02-25,0.0,-1.0576923076923193,7.0796416001325255,11.319999999999999,0.0
